id,date,commodity,unit,min,max,avg
76,2026-01-01,मकै बोडी,केजी,60.0,70.0,65.0
77,2026-01-01,मटरकोशा,के.जी.,70.0,100.0,88.0
78,2026-01-01,माछा सुकेको,के.जी.,800.0,1000.0,900.0
79,2026-01-01,मूला रातो,के.जी.,30.0,40.0,35.0
80,2026-01-01,मूला सेतो(लोकल),के.जी.,15.0,20.0,16.75
81,2026-01-01,मेथीको साग,के.जी.,80.0,100.0,90.0
82,2026-01-01,मेवा(नेपाली),के.जी.,60.0,70.0,65.0
83,2026-01-01,मेवा(भारतीय),केजी,90.0,100.0,95.0
84,2026-01-01,मौसम,के.जी.,80.0,110.0,95.0
85,2026-01-01,राजा च्याउ,के.जी.,280.0,300.0,290.0
86,2026-01-01,रातो बन्दा,के.जी.,180.0,200.0,190.0
87,2026-01-01,रायो साग,के.जी.,20.0,50.0,27.5
88,2026-01-01,रुख टमाटर,केजी,200.0,250.0,225.0
89,2026-01-01,लप्सी,के.जी.,65.0,75.0,70.0
90,2026-01-01,लसुन सुकेको चाइनिज,के.जी.,400.0,500.0,437.5
91,2026-01-01,लसुन सुकेको नेपाली,के.जी.,220.0,280.0,250.0
92,2026-01-01,लसुन हरियो,के.जी.,80.0,100.0,92.5
93,2026-01-01,लौका,के.जी.,60.0,70.0,66.0
94,2026-01-01,शरीफा,के‍.जी,180.0,200.0,190.0
95,2026-01-01,सखरखण्ड,के.जी.,60.0,75.0,67.5
96,2026-01-01,सलगम,के.जी.,80.0,90.0,85.0
97,2026-01-01,सिताके च्याउ,के.जी.,800.0,1000.0,900.0
98,2026-01-01,सुन्तला(नेपाली),के.जी.,80.0,110.0,95.0
99,2026-01-01,सेतो मूला(हाइब्रीड),केजी,25.0,40.0,31.25
100,2026-01-01,सेलरी,के.जी.,250.0,300.0,275.0
101,2026-01-01,सौफको साग,के.जी.,70.0,90.0,80.0
102,2026-01-01,स्कूस,के.जी.,25.0,30.0,27.5
103,2026-01-01,स्ट्रबेरी भुईऐसेलु,के.जी.,450.0,500.0,475.0
104,2026-01-01,स्थानीय काउली(ज्यापु),केजी,70.0,80.0,75.0
105,2026-01-01,स्याउ(झोले),के.जी.,200.0,250.0,225.0
106,2026-01-01,स्याउ(फूजी),के जी,280.0,320.0,300.0
107,2026-01-01,हरियो धनिया,के.जी.,80.0,130.0,102.5
108,2026-01-01,हरियो फर्सी(डल्लो),केजी,35.0,45.0,40.0
109,2026-01-02,अदुवा,के.जी.,60.0,80.0,70.0
110,2026-01-02,अनार,के.जी.,300.0,350.0,325.0
111,2026-01-02,अमला,के.जी,65.0,75.0,70.0
112,2026-01-02,आभोकाडो,के.जी,250.0,350.0,300.0
113,2026-01-02,आलु रातो(भारतीय),के जी,24.0,27.0,25.5
114,2026-01-02,आलु रातो(लाम्चो),के.जी.,25.0,32.0,30.14
115,2026-01-02,इमली,के.जी.,170.0,180.0,175.0
116,2026-01-02,काउली तराई,के.जी.,45.0,55.0,50.0
