commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू १००.००,रू १२०.००,रू ११०.००
गोलभेडा ठूलो(भारतीय),केजी,रू ११०.००,रू १२०.००,रू ११५.००
गोलभेडा सानो(लोकल),के.जी.,रू ७०.००,रू ९०.००,रू ७६.००
गोलभेडा सानो(टनेल),के जी,रू ७८.००,रू १००.००,रू ८६.६०
गोलभेडा सानो(भारतीय),के जी,रू ८०.००,रू ९६.००,रू ८८.००
गोलभेडा सानो(तराई),के जी,रू ८०.००,रू ९६.००,रू ८९.३३
आलु रातो(लाम्चो),के.जी.,रू २५.००,रू ३२.००,रू २९.४३
आलु रातो(भारतीय),के जी,रू २४.००,रू २७.००,रू २५.५०
प्याज सुकेको (भारतीय),के.जी.,रू ५०.००,रू ५५.००,रू ५२.५०
गाजर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६६.००
गाजर(तराई),केजी,रू ५५.००,रू ६५.००,रू ६०.००
बन्दा(लोकल),के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
बन्दा(तराई),केजी,रू २५.००,रू ३५.००,रू ३०.००
बन्दा(नरिवल),केजी,रू ३०.००,रू ४०.००,रू ३४.१७
काउली स्थानिय,के.जी.,रू ५०.००,रू ७०.००,रू ५८.३३
स्थानीय काउली(ज्यापु),केजी,रू ७०.००,रू ८०.००,रू ७५.००
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मूला सेतो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १७.६०
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू ३०.००,रू २६.२५
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मकै बोडी,केजी,रू ५०.००,रू ६०.००,रू ५५.००
मटरकोशा,के.जी.,रू ७५.००,रू १००.००,रू ८६.६७
घिउ सिमी(लोकल),के.जी.,रू ९०.००,रू १००.००,रू ९६.००
घिउ सिमी(हाइब्रीड),केजी,रू ८०.००,रू ९०.००,रू ८५.००
घिउ सिमी(राजमा),केजी,रू १४०.००,रू १५०.००,रू १४५.००
टाटे सिमी,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
तितो करेला,के.जी.,रू १००.००,रू ११०.००,रू १०५.००
लौका,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
परवर(तराई),केजी,रू १४५.००,रू १६०.००,रू १५२.५०
घिरौला,के.जी.,रू ९०.००,रू ११०.००,रू १०२.५०
फर्सी पाकेको,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
