commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू १००.००,रू ११०.००,रू १०५.००
गोलभेडा ठूलो(भारतीय),केजी,रू १००.००,रू १२०.००,रू १०७.५०
गोलभेडा सानो(लोकल),के.जी.,रू ६०.००,रू ८०.००,रू ७२.६०
गोलभेडा सानो(टनेल),के जी,रू ८०.००,रू १००.००,रू ९१.००
गोलभेडा सानो(भारतीय),के जी,रू ८०.००,रू १००.००,रू ९१.३६
गोलभेडा सानो(तराई),के जी,रू ८५.००,रू १००.००,रू ९३.७५
आलु रातो(लाम्चो),के.जी.,रू २८.००,रू ३२.००,रू ३०.६०
आलु रातो(भारतीय),के जी,रू २४.००,रू २६.००,रू २५.२५
प्याज सुकेको (भारतीय),के.जी.,रू ४६.००,रू ४८.००,रू ४७.२०
गाजर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७३.३३
गाजर(तराई),केजी,रू ५५.००,रू ६५.००,रू ६०.००
बन्दा(लोकल),के.जी.,रू ४५.००,रू ५५.००,रू ५०.००
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००
बन्दा(नरिवल),केजी,रू ४०.००,रू ५०.००,रू ४५.००
काउली स्थानिय,के.जी.,रू ८०.००,रू ९०.००,रू ८५.००
स्थानीय काउली(ज्यापु),केजी,रू ९०.००,रू १००.००,रू ९५.००
काउली तराई,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मूला सेतो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १७.५०
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू २५.००,रू २२.५०
भन्टा लाम्चो,के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
भन्टा डल्लो,के.जी.,रू ६५.००,रू ७५.००,रू ७०.००
मकै बोडी,केजी,रू ४०.००,रू ५०.००,रू ४५.००
मटरकोशा,के.जी.,रू ७०.००,रू ८०.००,रू ७३.३३
घिउ सिमी(लोकल),के.जी.,रू १२०.००,रू १३०.००,रू १२३.३३
