commodity,unit,min,max,avg
गोलभेडा ठूलो(नेपाली),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा ठूलो(भारतीय),केजी,रू ८५.००,रू ९५.००,रू ९०.००
गोलभेडा सानो(लोकल),के.जी.,रू ४०.००,रू ४५.००,रू ४२.५०
गोलभेडा सानो(टनेल),के जी,रू ६०.००,रू ७५.००,रू ६६.६७
गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा सानो(तराई),के जी,रू ५०.००,रू ६०.००,रू ५५.००
आलु रातो(लाम्चो),के.जी.,रू २६.००,रू ३०.००,रू २९.००
आलु रातो(भारतीय),के जी,रू २४.००,रू २६.००,रू २५.००
प्याज सुकेको (भारतीय),के.जी.,रू ४२.००,रू ४५.००,रू ४३.८०
गाजर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
गाजर(तराई),केजी,रू ३५.००,रू ५०.००,रू ४२.५०
बन्दा(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बन्दा(तराई),केजी,रू ४०.००,रू ५०.००,रू ४५.००
बन्दा(नरिवल),केजी,रू ४०.००,रू ५०.००,रू ४५.००
काउली स्थानिय,के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
स्थानीय काउली(ज्यापु),केजी,रू ७०.००,रू ८०.००,रू ७५.००
काउली तराई,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मूला सेतो(लोकल),के.जी.,रू १०.००,रू १५.००,रू १२.७५
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २०.००,रू १७.५०
भन्टा लाम्चो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
भन्टा डल्लो,के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
मकै बोडी,केजी,रू ४०.००,रू ५०.००,रू ४५.००
मटरकोशा,के.जी.,रू ५०.००,रू ९०.००,रू ६५.००
घिउ सिमी(लोकल),के.जी.,रू १००.००,रू १२०.००,रू १०८.७५
घिउ सिमी(हाइब्रीड),केजी,रू ९०.००,रू १००.००,रू ९५.००
घिउ सिमी(राजमा),केजी,रू १२०.००,रू १४०.००,रू १३०.००
