commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ९५.००,रू १०५.००,रू १००.००
गोलभेडा सानो(लोकल),के.जी.,रू ५०.००,रू ७०.००,रू ६०.००
गोलभेडा सानो(टनेल),के जी,रू ७५.००,रू १००.००,रू ८६.२५
गोलभेडा सानो(भारतीय),के जी,रू ७०.००,रू ८०.००,रू ७३.७५
गोलभेडा सानो(तराई),के जी,रू ८०.००,रू ९५.००,रू ८६.६७
आलु रातो(लाम्चो),के.जी.,रू २८.००,रू ३२.००,रू ३०.३३
आलु रातो(भारतीय),के जी,रू २५.००,रू २७.००,रू २६.२०
प्याज सुकेको (भारतीय),के.जी.,रू ४२.००,रू ४५.००,रू ४३.८०
गाजर(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७३.३३
गाजर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६३.३३
बन्दा(लोकल),के.जी.,रू ६०.००,रू ८०.००,रू ७०.००
बन्दा(तराई),केजी,रू ४५.००,रू ५५.००,रू ५०.००
बन्दा(नरिवल),केजी,रू ५०.००,रू ६०.००,रू ५५.००
काउली स्थानिय,के.जी.,रू ९०.००,रू १२०.००,रू १०२.५०
स्थानीय काउली(ज्यापु),केजी,रू १२०.००,रू १४०.००,रू १३०.००
काउली तराई,के.जी.,रू ८५.००,रू १००.००,रू ९२.५०
मूला रातो,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
मूला सेतो(लोकल),के.जी.,रू १५.००,रू २०.००,रू १७.३३
सेतो मूला(हाइब्रीड),केजी,रू २०.००,रू २५.००,रू २१.६७
भन्टा लाम्चो,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
भन्टा डल्लो,के.जी.,रू ७०.००,रू ८०.००,रू ७५.००
मकै बोडी,केजी,रू ४०.००,रू ५०.००,रू ४५.००
मटरकोशा,के.जी.,रू ६०.००,रू ७०.००,रू ६६.६७
घिउ सिमी(लोकल),के.जी.,रू १२०.००,रू १४०.००,रू १३०.००
घिउ सिमी(हाइब्रीड),केजी,रू ११०.००,रू १२०.००,रू ११५.००
