commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ९०.००,रू १००.००,रू ९५.००
गोलभेडा सानो(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
गोलभेडा सानो(भारतीय),के जी,रू ४०.००,रू ५०.००,रू ४५.००
गोलभेडा सानो(तराई),के जी,रू ४०.००,रू ५२.००,रू ४६.१७
आलु रातो(लाम्चो),के.जी.,रू २२.००,रू २७.००,रू २४.८३
आलु रातो(भारतीय),के जी,रू २२.००,रू २३.००,रू २२.५०
प्याज सुकेको (भारतीय),के.जी.,रू ३५.००,रू ३८.००,रू ३६.००
गाजर(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
गाजर(तराई),केजी,रू २०.००,रू ३०.००,रू २५.००
बन्दा(लोकल),के.जी.,रू २५.००,रू ३५.००,रू ३०.००
बन्दा(तराई),केजी,रू २०.००,रू ३०.००,रू २५.००
काउली स्थानिय,के.जी.,रू १५.००,रू ३०.००,रू २१.२५
स्थानीय काउली(ज्यापु),केजी,रू ३०.००,रू ४०.००,रू ३५.००
सेतो मूला(हाइब्रीड),केजी,रू १५.००,रू २५.००,रू २०.००
भन्टा लाम्चो,के.जी.,रू ३५.००,रू ५०.००,रू ४१.२५
भन्टा डल्लो,के.जी.,रू ४५.००,रू ६०.००,रू ५१.२५
बोडी(तने),के.जी.,रू ६०.००,रू ८०.००,रू ६७.५०
मकै बोडी,केजी,रू ७०.००,रू ८०.००,रू ७५.००
मटरकोशा,के.जी.,रू ३०.००,रू ५०.००,रू ४०.००
घिउ सिमी(लोकल),के.जी.,रू १५.००,रू ३०.००,रू २५.००
घिउ सिमी(हाइब्रीड),केजी,रू २५.००,रू ३५.००,रू ३०.००
घिउ सिमी(राजमा),केजी,रू ९०.००,रू १००.००,रू ९५.००
टाटे सिमी,के.जी.,रू १००.००,रू १२०.००,रू ११०.००
भटमासकोशा,के.जी.,रू १५०.००,रू १८०.००,रू १६५.००
तितो करेला,के.जी.,रू २०.००,रू ४०.००,रू ३०.००
लौका,के.जी.,रू २०.००,रू ३०.००,रू २५.००
परवर(लोकल),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००
परवर(तराई),केजी,रू ६०.००,रू ७०.००,रू ६५.००
चिचिण्डो,के.जी.,रू २०.००,रू ३०.००,रू २६.२५
घिरौला,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००
फर्सी पाकेको,के.जी.,रू ५५.००,रू ६०.००,रू ५७.५०
