commodity,unit,min,max,avg
गोलभेडा ठूलो(भारतीय),केजी,रू ७०.००,रू ८०.००,रू ७५.००
गोलभेडा सानो(लोकल),के.जी.,रू ३०.००,रू ३६.००,रू ३३.२५
गोलभेडा सानो(भारतीय),के जी,रू ३५.००,रू ४२.००,रू ३८.२५
गोलभेडा सानो(तराई),के जी,रू ३६.००,रू ४८.००,रू ४३.००
आलु रातो(लाम्चो),के.जी.,रू २३.००,रू २७.००,रू २४.६०
आलु रातो(भारतीय),के जी,रू २२.००,रू २४.००,रू २३.००
प्याज सुकेको (भारतीय),के.जी.,रू ३४.००,रू ३६.००,रू ३५.००
गाजर(लोकल),के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
गाजर(तराई),केजी,रू १६.००,रू २५.००,रू २०.५०
बन्दा(लोकल),के.जी.,रू ३५.००,रू ४५.००,रू ४०.००
काउली स्थानिय,के.जी.,रू २०.००,रू ३५.००,रू २७.५०
स्थानीय काउली(ज्यापु),केजी,रू ३०.००,रू ४०.००,रू ३५.००
सेतो मूला(हाइब्रीड),केजी,रू २५.००,रू ३५.००,रू २८.७५
भन्टा लाम्चो,के.जी.,रू ४०.००,रू ५०.००,रू ४५.००
भन्टा डल्लो,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००
बोडी(तने),के.जी.,रू ३०.००,रू ५०.००,रू ४२.५०
मटरकोशा,के.जी.,रू ४०.००,रू ५०.००,रू ४५.८०
घिउ सिमी(लोकल),के.जी.,रू १०.००,रू २०.००,रू १५.००
घिउ सिमी(हाइब्रीड),केजी,रू २०.००,रू ३०.००,रू २५.००
भटमासकोशा,के.जी.,रू १८०.००,रू २२०.००,रू २००.००
तितो करेला,के.जी.,रू ३०.००,रू ६०.००,रू ४२.५०
लौका,के.जी.,रू १०.००,रू २०.००,रू १५.००
परवर(तराई),केजी,रू ८०.००,रू १००.००,रू ९०.००
चिचिण्डो,के.जी.,रू २०.००,रू ३०.००,रू २५.००
घिरौला,के.जी.,रू २०.००,रू ३०.००,रू २५.००
फर्सी पाकेको,के.जी.,रू ५५.००,रू ६०.००,रू ५७.५०
फर्सी हरियो(लाम्चो),के.जी.,रू २०.००,रू ३०.००,रू २५.००
हरियो फर्सी(डल्लो),केजी,रू १०.००,रू २०.००,रू १५.००
