commodity,Average_Price,Price_Volatility,Minimum_Price,Maximum_Price,Days_Available
बरेला,57.58147826086957,13.22,25.0,100.0,115
ताजा माछा(बचुवा),285.5952380952381,13.12,270.0,305.0,210
बन्दा(लोकल),41.42195238095238,12.21,20.0,70.0,210
न्यूरो,84.08510638297872,11.7,65.0,155.0,141
स्याउ(झोले),231.6546376811594,11.45,205.0,290.0,138
मूला रातो,33.13465648854963,11.22,17.5,140.0,131
मेवा(नेपाली),72.698,10.39,57.5,85.0,210
केरा(मालभोग),200.5,10.39,190.0,226.67,80
बन्दा(नरिवल),32.233799999999995,10.21,16.75,55.0,100
तरुल,69.26330357142857,10.16,45.0,106.67,112
मौसम,114.96268656716418,9.88,95.0,135.0,67
राजा च्याउ,294.5738571428571,9.09,290.0,328.0,210
मेवा(भारतीय),98.76201923076923,9.05,80.0,110.0,208
ग्याठ कोबी,58.00847457627118,8.69,45.0,77.5,118
बन्दा(तराई),35.20173913043478,8.59,17.5,51.0,69
रातो आलु(गोलो),34.45456790123457,8.55,20.75,50.78,81
आलु रातो(लाम्चो),29.196714285714286,8.5,17.5,50.0,210
चुकुन्दर,61.896328502415464,7.9,45.0,86.25,207
प्याज सुकेको (भारतीय),41.77209523809523,7.04,34.0,55.83,210
सुन्तला(भारतीय),144.03508771929825,6.84,135.0,160.0,57
आलु रातो(मुडे),39.000727272727275,6.74,23.0,51.56,55
फर्सी पाकेको,52.810761904761904,6.1,35.0,65.0,210
निबुवा,65.69783132530121,5.75,60.0,80.0,83
सिताके च्याउ,899.424619047619,5.45,850.0,925.0,210
तोफु,143.37300000000002,5.01,130.0,155.0,210
इमली,174.3372857142857,4.48,150.0,190.0,210
किनु,117.79546511627906,4.22,103.33,125.0,86
नरिवल(काँचो),70.625,3.97,65.0,75.0,68
आलु रातो(भारतीय),25.566318681318684,3.76,21.0,42.33,182
सेतो मूला(हाइब्रीड),20.35666666666667,3.46,14.0,31.67,204
नरिवल(हरियो),160.99541666666667,3.39,155.0,170.0,72
मूला सेतो(लोकल),15.54072072072072,2.7,12.5,25.0,111
आलु सेतो,30.375208333333337,2.4,24.67,36.25,48
ताजा माछा(रहु),330.6309523809524,2.13,325.0,335.0,210
ड्रागन फ्रुट(नेपाली),375.0,0.0,375.0,375.0,4
मकै(हरियो),45.0,0.0,45.0,45.0,9
शरीफा,190.0,0.0,190.0,190.0,3
हरियो मकै,22.5,,22.5,22.5,1
