commodity,First_Price,Last_Price,Percent_Change
सुन्तला(नेपाली),95.0,105.0,10.526315789473683
सुन्तला(भारतीय),160.0,150.0,-6.25
सेतो मूला(हाइब्रीड),31.25,17.5,-44.0
सेलरी,275.0,190.0,-30.909090909090907
सौफको साग,80.0,175.0,118.75
स्कूस,27.5,65.0,136.36363636363635
स्ट्रबेरी भुईऐसेलु,475.0,275.0,-42.10526315789473
स्थानीय काउली(ज्यापु),75.0,55.0,-26.666666666666668
स्याउ(झोले),225.0,290.0,28.888888888888886
स्याउ(फूजी),300.0,290.0,-3.3333333333333335
हरियो धनिया,102.5,291.67,184.55609756097562
हरियो फर्सी(डल्लो),40.0,75.0,87.5
हरियो मकै,22.5,22.5,0.0
